student_id,attendance_percentage,internal_marks,assignment_score,communication_skill,technical_skill,projects_completed,aptitude_score,internships,backlogs,cgpa,preferred_domain,performance_label,placement_label
35,68,64,79,8,7,2,77,3,1,6.63,Web,Average,Placed
36,66,75,72,4,6,1,85,2,1,6.87,Data,Average,Placed
37,97,81,82,6,9,2,86,0,3,9.5,AI,Good,Not_Placed
38,60,63,83,7,5,0,77,2,3,5.75,Data,Poor,Placed
39,51,86,82,9,4,4,61,3,0,9.28,Web,Good,Not_Placed
40,65,91,84,7,4,5,89,0,2,6.91,Web,Average,Not_Placed
41,73,79,47,4,6,4,80,0,2,7.76,Web,Average,Not_Placed
42,90,85,45,7,5,2,80,0,2,7.68,Web,Average,Not_Placed
43,61,83,62,4,4,1,53,3,2,7.3,Web,Average,Not_Placed
44,55,89,56,9,7,5,78,1,0,8.77,Web,Good,Placed
45,64,70,70,4,5,0,61,2,3,8.92,Web,Good,Not_Placed
46,59,91,90,5,5,5,81,2,0,7.03,Web,Average,Placed
47,51,80,73,5,9,0,76,0,2,6.56,AI,Average,Not_Placed
48,97,90,80,8,8,5,71,1,1,7.01,AI,Average,Not_Placed
49,98,62,75,9,9,3,80,2,3,6.04,AI,Poor,Placed
50,74,93,57,5,8,5,56,0,1,7.59,Data,Average,Not_Placed
51,79,46,82,4,6,5,53,3,1,8.69,Web,Good,Not_Placed
52,87,63,46,9,7,2,58,2,3,7.2,Web,Average,Not_Placed
53,85,61,87,7,5,1,62,0,0,6.17,Web,Poor,Not_Placed
54,85,86,63,9,5,4,60,3,0,6.18,Web,Poor,Not_Placed
55,90,64,69,7,7,0,81,3,0,6.9,Web,Average,Placed
56,80,51,95,8,5,3,85,3,1,9.06,Web,Good,Placed
57,55,80,51,6,4,5,80,3,3,8.79,Web,Good,Placed
58,54,61,57,7,4,1,70,2,1,6.84,Data,Average,Not_Placed
59,88,81,81,4,8,3,66,3,0,9.54,Data,Excellent,Not_Placed
60,71,86,92,8,7,0,95,3,1,6.82,Data,Average,Placed
61,83,86,64,4,4,5,94,0,2,8.77,Web,Good,Not_Placed
62,68,80,76,4,7,0,74,1,3,8.16,Data,Good,Not_Placed
63,96,73,78,5,6,3,69,0,0,6.29,Web,Poor,Not_Placed
64,96,82,49,6,8,0,75,0,1,6.3,Data,Poor,Not_Placed
65,90,47,79,7,7,0,59,2,2,7.85,Data,Average,Not_Placed
66,72,51,93,5,9,5,61,1,0,8.31,Data,Good,Not_Placed
67,66,95,71,5,5,5,78,1,1,7.85,Web,Average,Not_Placed
68,90,48,79,5,6,2,56,1,0,7.29,Web,Average,Not_Placed
69,92,66,58,8,6,5,52,1,1,7.85,Web,Average,Not_Placed
70,55,95,94,5,8,5,57,2,2,5.54,AI,Poor,Not_Placed
71,50,92,46,4,8,0,95,1,3,5.75,AI,Poor,Not_Placed
72,61,52,69,4,9,5,80,2,3,5.97,Data,Poor,Placed
73,93,81,82,9,7,1,76,3,0,9.71,Data,Good,Placed
74,83,53,79,6,8,5,53,3,2,5.75,Data,Poor,Not_Placed
75,70,50,74,6,5,4,91,1,1,6.45,Web,Poor,Not_Placed
76,89,61,50,4,8,1,67,1,3,6.95,AI,Average,Not_Placed
77,50,93,47,5,4,3,67,2,3,7.31,Web,Average,Not_Placed
78,79,94,79,5,4,5,92,1,1,6.49,Web,Poor,Not_Placed
79,96,90,59,6,4,0,73,2,1,6.57,Data,Average,Not_Placed
80,100,88,76,4,5,5,89,3,1,7.8,Web,Average,Placed
81,92,48,50,4,4,1,94,2,2,8.4,Data,Good,Placed
82,50,53,75,4,9,5,78,0,3,9.0,Data,Good,Not_Placed
83,72,79,71,9,6,1,82,0,2,8.04,Data,Good,Not_Placed
84,69,55,56,5,6,2,92,3,0,7.58,Web,Average,Placed
85,74,88,92,7,4,0,74,3,1,8.11,Data,Good,Not_Placed
86,90,50,62,9,6,1,92,2,1,8.62,Web,Good,Placed
87,64,83,58,6,4,3,94,3,2,8.02,Web,Good,Placed
88,56,45,53,7,9,0,93,2,2,8.48,AI,Good,Placed
89,53,87,54,9,7,3,82,1,3,9.78,Web,Good,Not_Placed
90,59,74,47,8,5,5,82,3,3,7.16,Web,Average,Placed
91,77,46,52,6,8,0,60,2,3,8.22,Data,Good,Not_Placed
92,85,57,49,6,6,4,83,1,1,7.02,Web,Average,Not_Placed
93,71,57,54,4,8,0,75,0,1,6.0,AI,Poor,Not_Placed
94,96,56,78,4,7,5,68,0,2,7.31,Web,Average,Not_Placed
95,65,52,56,7,5,1,93,2,3,8.15,Web,Good,Placed
96,82,90,57,9,5,2,88,1,3,9.52,Web,Good,Not_Placed
97,98,61,62,4,8,2,65,1,1,8.97,AI,Good,Not_Placed
98,59,61,88,8,7,1,59,0,3,8.22,Web,Good,Not_Placed
99,71,67,50,4,9,2,92,2,1,9.46,AI,Good,Placed
100,54,70,52,7,7,0,95,1,2,6.01,Data,Poor,Not_Placed
101,72,48,71,6,9,4,65,2,2,6.72,Data,Average,Not_Placed
102,60,81,84,4,8,0,70,1,2,9.1,AI,Good,Not_Placed
103,82,61,66,7,6,0,66,1,1,8.29,Data,Good,Not_Placed
104,66,65,73,7,8,2,67,3,1,8.54,AI,Good,Not_Placed
105,54,76,68,7,5,2,51,3,3,8.69,Web,Good,Not_Placed
106,55,82,49,4,4,4,81,0,2,6.05,Web,Poor,Not_Placed
107,88,50,45,7,9,5,90,1,2,7.49,AI,Average,Not_Placed
108,62,82,88,8,5,1,61,1,0,9.16,Web,Good,Not_Placed
109,87,61,48,8,9,2,61,0,3,9.15,AI,Good,Not_Placed
110,91,55,45,4,7,4,91,0,1,8.05,Web,Good,Not_Placed
111,73,77,82,4,4,3,84,1,3,7.64,Web,Average,Not_Placed
112,55,77,60,7,9,5,94,1,0,9.6,AI,Excellent,Placed
113,100,84,61,9,8,4,55,0,0,7.68,Data,Average,Not_Placed
114,66,62,68,9,4,1,54,1,1,7.13,Data,Average,Not_Placed
115,71,82,51,7,7,1,62,1,3,9.1,Web,Good,Not_Placed
116,80,71,54,7,7,2,52,1,0,5.78,Web,Poor,Not_Placed
117,99,74,75,6,5,0,95,2,0,9.59,Data,Good,Placed
118,90,68,73,6,7,4,70,2,2,6.87,Web,Average,Not_Placed
119,59,57,74,4,9,1,54,0,3,6.57,Data,Average,Not_Placed
120,84,54,49,4,7,1,91,3,0,7.35,Data,Average,Placed
121,66,75,82,8,7,0,78,2,1,6.73,Web,Average,Placed
122,87,87,88,5,9,3,59,0,1,6.19,AI,Poor,Not_Placed
123,59,76,58,8,9,0,68,3,0,5.63,Data,Poor,Not_Placed
124,89,51,85,7,5,0,87,0,1,8.38,Data,Good,Not_Placed
125,100,82,54,4,4,0,77,0,3,8.27,Data,Good,Not_Placed
126,74,55,75,8,8,2,84,0,2,8.52,AI,Good,Not_Placed
127,68,84,57,5,9,3,89,0,0,6.18,Data,Poor,Not_Placed
128,94,94,84,5,4,4,55,1,2,7.9,Web,Average,Not_Placed
129,92,78,70,9,6,1,74,2,0,5.95,Web,Poor,Not_Placed
130,92,61,91,6,4,1,85,1,2,8.98,Web,Good,Not_Placed
131,100,65,89,6,9,4,78,2,1,6.76,Data,Average,Placed
132,80,45,51,4,5,0,51,1,2,7.61,Web,Average,Not_Placed
133,60,47,56,6,9,4,65,1,1,9.07,AI,Excellent,Not_Placed
134,84,85,83,5,4,2,92,2,1,7.3,Web,Average,Placed
135,64,73,74,4,7,1,67,2,2,7.72,Data,Average,Not_Placed
136,82,62,81,8,5,4,77,2,1,9.16,Web,Good,Placed
137,86,69,74,9,4,2,59,3,3,8.05,Web,Good,Not_Placed
138,75,54,66,9,7,3,63,2,2,7.84,Web,Average,Not_Placed
139,78,85,60,5,8,2,80,0,0,7.68,Data,Average,Not_Placed
140,96,55,85,9,5,5,65,3,0,9.75,Web,Good,Not_Placed
141,75,48,65,6,5,1,62,1,2,6.0,Web,Poor,Not_Placed
142,68,89,84,8,9,4,76,0,3,9.69,Data,Excellent,Not_Placed
143,50,51,77,5,7,4,69,2,3,7.24,Web,Average,Not_Placed
144,100,75,90,8,9,3,64,1,1,6.03,AI,Poor,Not_Placed
145,88,66,86,8,9,1,81,0,2,7.4,AI,Average,Not_Placed
146,81,47,58,5,6,4,95,1,3,6.67,Web,Average,Not_Placed
147,65,90,52,5,8,3,71,2,2,7.32,AI,Average,Not_Placed
148,58,79,76,4,9,2,93,2,0,8.59,Data,Good,Placed
149,87,73,86,7,8,3,71,0,0,7.21,AI,Average,Not_Placed
150,56,81,51,6,7,3,57,1,0,6.97,Web,Average,Not_Placed
151,74,47,87,7,6,1,69,3,1,9.7,Data,Good,Not_Placed
152,55,62,92,9,4,2,68,2,3,6.32,Web,Poor,Not_Placed
153,59,46,72,4,7,1,95,0,1,7.6,Data,Average,Not_Placed
154,73,61,84,9,7,1,54,2,2,6.04,Web,Poor,Not_Placed
155,52,94,49,7,9,1,95,1,0,8.7,AI,Good,Placed
156,76,88,87,4,7,5,88,1,1,8.96,Web,Good,Not_Placed
157,53,90,94,4,8,5,95,3,3,5.73,AI,Poor,Placed
158,81,70,88,7,6,5,57,2,3,9.54,Web,Good,Not_Placed
159,57,49,82,9,6,3,64,1,2,9.67,Web,Good,Not_Placed
160,67,51,53,8,6,4,66,2,2,6.04,Web,Poor,Not_Placed
161,77,45,63,4,9,0,75,1,1,8.86,AI,Good,Not_Placed
162,62,50,64,6,5,3,50,1,0,8.79,Web,Good,Not_Placed
163,53,75,91,4,8,4,60,0,3,6.41,AI,Poor,Not_Placed
164,71,60,72,7,8,1,59,2,2,5.63,Data,Poor,Not_Placed
165,56,60,51,7,6,4,60,1,0,9.36,Web,Good,Not_Placed
166,58,92,84,7,5,4,68,0,2,6.83,Web,Average,Not_Placed
167,63,63,67,6,9,5,79,1,2,9.43,Data,Excellent,Not_Placed
168,70,77,64,6,8,3,80,3,2,7.83,Data,Average,Placed
169,96,90,58,8,5,3,50,0,3,9.24,Web,Good,Not_Placed
170,62,61,79,8,4,2,70,2,3,6.03,Web,Poor,Not_Placed
171,92,47,49,9,8,2,66,1,1,9.59,Data,Good,Not_Placed
172,82,66,79,9,6,3,84,0,1,5.92,Web,Poor,Not_Placed
173,99,88,51,4,6,1,93,1,1,6.59,Data,Average,Not_Placed
174,54,61,69,6,9,5,66,0,1,8.42,Data,Good,Not_Placed
175,72,87,65,6,8,1,80,3,0,7.97,Data,Average,Placed
176,74,59,63,7,4,1,83,3,1,5.74,Web,Poor,Placed
177,99,93,93,8,7,1,67,1,3,8.42,Web,Good,Not_Placed
178,67,78,88,9,7,0,88,3,0,8.04,Web,Good,Placed
179,100,48,87,7,8,0,87,3,0,9.08,Data,Good,Placed
180,100,80,90,4,4,1,60,3,1,9.23,Data,Good,Not_Placed
181,77,50,81,6,9,2,88,2,1,8.33,AI,Good,Placed
182,97,74,67,6,4,3,84,3,3,6.0,Web,Poor,Placed
183,100,59,50,4,8,3,71,3,2,6.71,AI,Average,Not_Placed
184,83,61,48,4,8,1,57,1,3,6.34,AI,Poor,Not_Placed
185,82,75,94,6,9,0,61,0,3,6.45,AI,Poor,Not_Placed
186,83,83,82,4,4,0,87,1,3,8.41,Web,Good,Not_Placed
187,60,80,88,4,8,1,65,2,0,6.09,AI,Poor,Not_Placed
188,76,63,56,7,8,0,86,3,0,6.86,Data,Average,Placed
189,100,54,78,9,4,1,92,1,2,8.2,Web,Good,Not_Placed
190,74,53,93,7,7,4,70,3,1,7.3,Web,Average,Not_Placed
191,63,87,90,4,8,1,91,3,1,8.11,Data,Good,Placed
192,70,95,59,5,4,2,65,0,3,6.97,Web,Average,Not_Placed
193,86,45,83,9,6,2,89,3,0,8.91,Web,Good,Placed
194,88,91,81,6,6,1,50,0,1,5.83,Web,Poor,Not_Placed
195,74,69,63,6,4,2,80,1,3,6.9,Web,Average,Not_Placed
196,97,69,75,5,8,3,50,0,1,7.92,Data,Average,Not_Placed
197,70,64,50,5,6,1,59,1,0,8.9,Web,Good,Not_Placed
198,61,62,50,7,6,2,72,0,3,8.22,Web,Good,Not_Placed
199,61,58,70,8,7,4,73,3,2,9.72,Web,Good,Not_Placed
200,96,50,52,4,9,5,79,1,0,7.82,Data,Average,Not_Placed
